#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
26550,-22705.12179825516,2765.050081599117,-19940.071716656043,146.82502915046751,87.4
26640,-22723.114663036133,2808.0477082918997,-19915.066954744234,149.1082166538626,87.3
26730,-22950.87949388512,2784.4135618767887,-20166.46593200833,147.85323604449215,87.4
26820,-22816.09445826293,2766.7126401260352,-20049.381818136895,146.91331153124736,87.4
26910,-22691.059139852325,2783.629748185066,-19907.429391667258,147.81161529089295,87.4
27000,-22968.417334513244,2763.5682885827255,-20204.849045930518,146.74634547516104,87.4
27090,-22938.672687420505,2850.307051531193,-20088.365635889313,151.3522010736314,87.4
27180,-22878.185164486596,2797.041609182642,-20081.143555303956,148.52378932890971,87.4
27270,-22790.120727946734,2789.5202964002174,-20000.600431546518,148.12440525414078,87.5
27360,-22905.813868669764,2821.292138346137,-20084.521730323628,149.8115000561184,87.4
27450,-22564.720392281437,2813.3432253219044,-19751.377166959533,149.38941027399682,87.4
27540,-22724.966379169215,2808.836310655071,-19916.130068514143,149.15009168742213,87.4
27630,-22788.042711103975,2777.99884045876,-20010.043870645215,147.51261231927936,87.4
27720,-22504.313728683148,2762.6574500063994,-19741.65627867675,146.69797966023043,87.4
27810,-22915.14814139191,2811.3384125114553,-20103.809728880457,149.2829540830966,87.4
27900,-22756.865253158,2768.3987470006277,-19988.466506157372,147.00284433669646,87.4
27990,-22822.951158910786,2762.1041025720924,-20060.847056338695,146.66859673739907,87.5
28080,-22627.89153401411,2837.9039715821327,-19789.987562431976,150.6935936266288,87.4
28170,-22863.17643129728,2789.0895723077997,-20074.08685898948,148.10153366933807,87.5
28260,-23080.2703330527,2776.913067113959,-20303.357265938743,147.45495741311254,87.5
28350,-22701.08654686628,2829.58715663584,-19871.49939023044,150.2519681367128,87.4
28440,-22668.107070711354,2830.134611561469,-19837.972459149885,150.28103816547969,87.4
28530,-22912.49532998279,2794.355599587742,-20118.139730395047,148.38116137446718,87.4
28620,-22771.304646898032,2824.9230097343125,-19946.38163716372,150.00430046901442,87.4
28710,-22867.108458473056,2850.8820452874525,-20016.226413185603,151.38273342296782,87.4
28800,-22965.4727813997,2776.042341402575,-20189.430439997126,147.40872160392888,87.4
28890,-22858.81767032246,2779.7520931201702,-20079.06557720229,147.60571058713094,87.4
28980,-22723.881966065164,2842.9837750169254,-19880.89819104824,150.963332786999,87.4
29070,-22816.217240405298,2766.78156395161,-20049.435676453686,146.91697140806716,87.5
29160,-22932.336836865783,2790.7062168416924,-20141.63062002409,148.18737800264483,87.4
29250,-22996.295173848135,2761.110654034228,-20235.184519813905,146.61584430752373,87.5
29340,-22819.643020188596,2799.261228360676,-20020.38179182792,148.64165180550157,87.4
29430,-22785.75267592506,2803.6695201951793,-19982.08315572988,148.8757334886552,87.4
29520,-22569.403954837413,2815.9526529311015,-19753.451301906312,149.52797170090767,87.4
29610,-22728.69611032463,2803.8258664170494,-19924.87024390758,148.88403552221922,87.4
