Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
-9.66212,1.28222,-8.3799,30003.2,-27030.1,5054.5
-9.62373,1.25911,-8.36462,30286.6,-26545.8,5849.87
-9.78754,1.27442,-8.51312,30256.7,-30526.6,1838.79
-9.6299,1.21577,-8.41413,31255.7,-28366,4989.28
-9.62831,1.20869,-8.41962,29781,-27727.6,4141.06
-9.65824,1.22542,-8.43282,29738.6,-29072.4,2788.68
-9.56328,1.12349,-8.43979,29368.6,-27272.9,4163.28
-9.67999,1.35085,-8.32914,29929.5,-30613.6,1418.67
-9.61619,1.25523,-8.36096,29537.4,-29563.2,2061.15
-9.6584,1.23792,-8.42048,29713.4,-28289.7,3538.54
-9.6387,1.30194,-8.33676,29298.5,-30126.1,1297.19
-9.58452,1.26569,-8.31883,30071.1,-26276.7,5935.49
-9.67409,1.35362,-8.32047,29343.2,-30367.7,1070.75
-9.66187,1.17081,-8.49105,30293.9,-26711.9,5662.98
-9.60759,1.20048,-8.40711,29966.7,-28603.5,3480.37
-9.60418,1.24521,-8.35897,29011.7,-31008.6,142.564
-9.58373,1.21531,-8.36842,29296,-27316.5,4092.55
-9.59529,1.31137,-8.28393,29170.3,-30962.5,331.925
-9.567,1.21291,-8.35409,29577.4,-31394,314.764
-9.59951,1.20927,-8.39024,28952.5,-27952.9,3068.74
-9.5733,1.18622,-8.38708,29285.9,-27310.4,4086.39
-9.61242,1.27823,-8.33419,28640.6,-28903.1,1862.69
-9.68287,1.30595,-8.37692,27912.5,-31932.8,-1926.13
-9.65255,1.26805,-8.3845,28383.2,-29221.2,1256.49
-9.61198,1.27249,-8.33949,28259.5,-28524.5,1841.84
-9.57901,1.26247,-8.31654,28003.3,-27830.1,2227.07
-9.56213,1.17962,-8.38251,28906.7,-25411.7,5582.97
-9.57255,1.16524,-8.40731,28751,-26604.2,4198.24
-9.44352,1.18204,-8.26148,29149.5,-26222.9,5020.18
-9.67729,1.3183,-8.35899,28951.3,-30190.4,877.346
-9.53103,1.21038,-8.32065,28922.1,-26722.4,4324.28
-9.52996,1.33397,-8.19599,28528.5,-27268.1,3342.35
-9.54253,1.30142,-8.24112,28535.2,-28095.5,2526.07
-9.57288,1.25914,-8.31374,28378.4,-26729.9,3743.53
-9.64194,1.21574,-8.4262,28329.4,-28161.6,2259.92
-9.57484,1.25103,-8.32381,28178.2,-28691.4,1591.8
-9.54186,1.24724,-8.29462,28286.5,-27009.8,3382.11
-9.48721,1.25773,-8.22947,29404.6,-26491.2,5016.15
-9.55996,1.22737,-8.33259,28473.4,-28523.4,2047.53
-9.73143,1.29079,-8.44064,29017.4,-29662.6,1473.77
-9.55361,1.21335,-8.34026,29386.3,-26553.7,4937.83
-9.62296,1.25378,-8.36918,29724.8,-26720.4,5113.11
-9.49957,1.23106,-8.26851,29311,-28026.6,3381.62
-9.60621,1.27575,-8.33046,28714.8,-28257.8,2567.46
-9.47871,1.14647,-8.33225,28287.6,-26493.9,3884.78
-9.48662,1.2199,-8.26672,28979,-28664,2436.13
-9.52308,1.23955,-8.28353,29979.8,-27058,5020.55
-9.54939,1.22525,-8.32414,28443.5,-28397.3,2182.15
-9.55152,1.25039,-8.30114,27414.7,-28988.8,542.107
-9.46774,1.21991,-8.24783,28213,-24852.1,5475.58
-9.44922,1.25679,-8.19243,28421,-27298.5,3199.56
-9.53785,1.1849,-8.35294,28051.3,-26656.5,3519.87
-9.48139,1.22408,-8.25731,28223,-27898.3,2466.45
-9.6174,1.24665,-8.37075,28353.4,-27941.2,2523.94
-9.56929,1.2502,-8.3191,28722.8,-30230.1,582.466
-9.58506,1.2833,-8.30175,28997.4,-29810.6,1288.98
-9.65217,1.29662,-8.35555,28995.6,-29733.4,1396.45
-9.56332,1.25553,-8.30779,29330.9,-26305,5142.87
-9.53146,1.26801,-8.26345,29605,-28887.8,2800.69
-9.57902,1.2746,-8.30442,28719.1,-28314.2,2517.5
-9.4953,1.18206,-8.31324,29377.1,-27033.6,4440.73
-9.4802,1.26733,-8.21287,29605.2,-27082.6,4658.49
-9.49712,1.21308,-8.28405,29676.6,-27588.9,4182.23
-9.56039,1.23995,-8.32044,28536.2,-28265.5,2298.01
-9.60667,1.34788,-8.25879,29337.1,-29633.6,1822.59
-9.56989,1.22221,-8.34768,28244.8,-30001.8,310.499
-9.57649,1.22541,-8.35107,29208,-27977.1,3320.96
-9.5769,1.29626,-8.28063,30006.3,-30249.1,1864.32
-9.67165,1.27495,-8.3967,30408.5,-29640.7,2873.22
-9.48794,1.21833,-8.26961,30061.1,-26275.8,5883.04
-9.68498,1.29504,-8.38994,29514,-27813.7,3839.16
