#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
38700,-22490.732625098914,5576.853912011853,-16913.878713087062,296.13269707053126,82.4
38880,-22619.058140729612,5642.753735456766,-16976.304405272847,299.63199842593895,82.3
39060,-22656.260044089635,5729.03247289465,-16927.227571194984,304.2134265250845,82.3
39240,-22624.91046548421,5711.627304901804,-16913.283160582403,303.2892066294215,82.3
39420,-22791.5855461974,5849.8047783986,-16941.7807677988,310.62647393937635,82.4
39600,-22590.149012952854,5635.233419466159,-16954.915593486694,299.23266728112907,82.3
39780,-22730.61505451519,5745.399659810965,-16985.215394704224,305.08252929906007,82.3
39960,-22801.775637696977,5871.537047741915,-16930.238589955065,311.7804642779501,82.4
40140,-22725.885788514934,5746.264991170789,-16979.620797344145,305.1284786664789,82.4
40320,-22510.093693193965,5638.040331217907,-16872.053361976057,299.3817151781331,82.3
40500,-22716.765499993053,5736.25203372296,-16980.513466270095,304.5967874761661,82.4
40680,-22733.964024536137,5752.529502412498,-16981.43452212364,305.46112618407665,82.4
40860,-22912.531697298473,5911.667938752646,-17000.863758545827,313.9114272148229,82.4
41040,-22691.341773628577,5725.505464780925,-16965.836308847654,304.02614128473465,82.3
41220,-22675.634601011014,5629.78512053134,-17045.849480479672,298.94336089378777,82.4
41400,-22890.323989810233,5799.278400637661,-17091.045589172572,307.9435073859,82.4
41580,-22740.28646951441,5636.775394157056,-17103.511075357354,299.3145466222835,82.4
41760,-22907.548606126104,5737.133654046274,-17170.41495207983,304.64360179267044,82.4
41940,-22847.709380390705,5699.543729690835,-17148.16565069987,302.64756498451993,82.4
42120,-22915.0492180101,5684.473477034261,-17230.575740975837,301.84732982772067,82.4
42300,-22926.66267194826,5695.253205854567,-17231.409466093693,302.41973681911963,82.4
42480,-22965.605973959086,5732.358822720398,-17233.247151238687,304.39005674722057,82.4
42660,-22923.664044070145,5691.67591339025,-17231.988130679896,302.2297814639351,82.4
42840,-22910.409091875903,5739.640182718859,-17170.768909157043,304.7766992536777,82.4
43020,-22975.13666417761,5862.415943429988,-17112.720720747624,311.29613076970907,82.4
43200,-22957.37778367076,5710.878541319443,-17246.499242351318,303.24944704765534,82.4
43380,-22795.65769924989,5564.566841584367,-17231.09085766552,295.480249765618,82.4
43560,-22872.42466444036,5582.714506964966,-17289.710157475394,296.44389650614227,82.4
